tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
"Cong going to get 130 seats DMK 20 jdu 3 ncp 9 rjd 8 all other UPA members will get 10 more seats So it will be a total of 180 MGB may score 35 ,TMC 28 bjd 11 trs 14 ysrp 18 tdp 6 on third front",aravind_binu,[],2019-05-07,Tue,1125611675845943298,4,0,0.09375
#LokSabhaElections2019 Fate of BJP's Rajiv Pratap Rudy and RJD's Chandrika Rai sealed. (By _manas via _today),IndiaToday,['LokSabhaElections2019'],2019-05-07,Tue,1125605447682015232,11,3,0.0
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,BeingAlhind,[],2019-05-07,Tue,1125604343070150656,8,3,0.0
"Dynastic Politics doesn't mean if a father was nd a Son is MP or MLA It simply means the Top most Post in Party i.e President will be of one family till Party doesn't vanish Like Congress RJD SP BSP DMK,BJD Shivsena.......BJP doesn't come on this category",Prashan37984463,[],2019-05-07,Tue,1125603294921932800,0,0,0.171875
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,prakashsing470,[],2019-05-07,Tue,1125601997640482816,0,0,0.0
Arya is beyond badass.,RJD_lonestar,[],2019-05-07,Tue,1125601058829373440,0,0,0.0
"Desperate balancing act against the tweet about Rabri Nishant ji everyone knows the name of next party presidents Congress BSP TMC,SP RLD SS PDP NC TDP DMK RJD etc now tell the name of next BJP president",ShubhaankarC,[],2019-05-07,Tue,1125599987671240705,0,0,-0.2
➺Rjd and Tom Holland Iron man and Spider man edit,spideloki,[],2019-05-07,Tue,1125595228570824704,0,0,0.0
This is in Saran Lok Sabha constituency where BJP’s Rajiv Pratap Rudy is pitted against RJD’s Chandrika Rai who is the ‘samadhi of Lalu Prasad and the father-in-law of Lalu’s elder son Tej Pratap who is fighting a divorce battle with Aishwarya Rai,prasanto,[],2019-05-07,Tue,1125593351137284097,1,2,0.0
Agreed ... They could get very close to this no along with smaller partners like RJD+NCP+JDS+TDP+NE Then if your nos of GB+TM+DMK are even close the shortfall will easily be made from either one of the following YSR TRS BJD or even JDU ... Key here is SP+BSP getting 50,VineetTandon2,[],2019-05-07,Tue,1125589069503664130,0,0,0.12666666666666665
Vaishali Bihar Ex-aide caste trouble senior RJD leader in his bastion Elections News The Indian Express via,santoshchitra,[],2019-05-07,Tue,1125587882549243906,0,1,-0.2
RJD 'Lalu Prasad is an ideology They called his govt 'jungle raj' But what happened in Muzaffarpur Girls Home under Nitish Kumar?,advkaka,[],2019-05-07,Tue,1125587098151481345,0,0,0.0
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,SauravK1012,[],2019-05-07,Tue,1125586795691790337,1,0,0.0
@_NairFYI TRS BSP SP YSR BJD all are possible allies DMK RJD TMC (due to growth of BJP in WB and Left are the only parties will not join NDA,RebuildKer,[],2019-05-07,Tue,1125585478391029760,1,0,-0.03125
CBI and ED are working as BJP party cells alleges RJD Leader Will CBI or ED investigate allegations against Amit Shah's son Jayshah Tejashwi speaks exclusively to #LokSabhaElections2019,vssanakan,['LokSabhaElections2019'],2019-05-07,Tue,1125585191559286784,4,3,0.0
THOUSANDS ON NEW EYES EVERY DAY WILL READ ABOUT $RJDG ON MY BLOG FLIPPERS CAN FLIP BUT.... $RJDG STILL GOING TO PENNYLAND AND BEYOND!!! IF YOU CAN FIND ME ANOTHER SUB-PENNY STOCK WITH THESE AMAZING FUNDAMENTALS PLEASE SHOW ME! #MONEYGANG #PENNYSTOCKS,darthtraderhq,"['MONEYGANG', 'PENNYSTOCKS']",2019-05-07,Tue,1125583189072683009,1,3,0.5081676136363636
_CS Ricardo out here,DeeZy____,[],2019-05-07,Tue,1125579189065797633,0,0,0.0
"Man who couldnt form proper alliance save already sinking RJD and JDS,alliance that was the least this self bloating sycophancy loving brat could have achieved before election,has become a challenger Even Rickshaw wala doesn't make so much of an ullu of a guy for extra bucks",atulsprakash,[],2019-05-07,Tue,1125576892055080960,0,0,0.1
Assembly election with congress lost so bye bye congress now parliament election with bsp already knows they lost so bye bye bsp next election alliance with aap TMC rjd bjd cpi dmk tdp and etc.,muditparashari3,[],2019-05-07,Tue,1125575463072440320,0,0,0.0
RJD CONG and their MGB rely only on these types of nonsense foul mouth voters rest for NDA.,swaroopjena2016,[],2019-05-07,Tue,1125575110222467072,0,0,0.0
_bhatt I recall but Jethmalani now represents RJD of Lalu in RS.,shoksing,[],2019-05-07,Tue,1125574149819092992,0,0,0.0
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,RamBach63967607,[],2019-05-07,Tue,1125569576756969474,19,6,0.0
_33 Go to Columbus son,JJ_Anthem35,[],2019-05-06,Mon,1125535023241867264,0,0,0.0
_Anthem35 U pee sitting down,RJD_33,[],2019-05-06,Mon,1125534713811173376,0,0,-0.1555555555555556
RJD elated by Shivraj Singh Chouhan's lantern march,zyiteblog,[],2019-05-06,Mon,1125522145365225472,0,0,0.0
_ They know who they are Tryna save them the embarrassment,CeeNJay11,[],2019-05-06,Mon,1125505665638838273,1,0,0.0
Lhh you gotta the person at this point,RJD__,[],2019-05-06,Mon,1125504558749425671,0,0,0.0
Cus back in the day that mf was a boat,RJD__,[],2019-05-06,Mon,1125499853419831297,8,1,0.0
_manchester Smalling Any of our forwards could be included in that too,RJD_MUFC,[],2019-05-06,Mon,1125499521797099520,1,0,0.0
I agree Most of us can't make any match day protests so should look for ways where we can maybe do something #UnfollowManUnited,RJD_MUFC,['UnfollowManUnited'],2019-05-06,Mon,1125494445858873346,1,2,0.5
Vaishali Bihar Ex-aide caste trouble senior RJD leader in his bastion. #LokSabhaElections2019 #Decision2019,decision2019,"['LokSabhaElections2019', 'Decision2019']",2019-05-06,Mon,1125494202106765315,2,0,-0.2
"_MUFC Generally don’t know how far this will go or it will even help but if we all sit there saying I won’t make a difference then that’s where the problem is we all make a difference and together we are more powerful and rich then them suits,clowns we call a board and owners",MattRugrat,[],2019-05-06,Mon,1125493922694881280,1,0,0.265
Suppose it's a start,RJD_MUFC,[],2019-05-06,Mon,1125492666186313728,0,0,0.0
Leave it This is one of the fake accounts of some clown of RJD IT cell It was created in Nov 2017 but started using it 3 days back to abuse others Probably made by the same team which operates account of Rabri.,adt007ad,[],2019-05-06,Mon,1125491866919522305,0,0,-0.16666666666666666
Yes we need a new defence midfield and attack lol I think if dybala is available and lukaku is going it'd be silly to miss out on him if he's available Just my opinion,RJD_MUFC,[],2019-05-06,Mon,1125490201118294016,1,0,0.2472727272727273
